year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2020,3,1,4,2335,29,119,100,19,DL,260,N555NW,ATL,MCO,58,404,23,35,2020-03-01T23:00:00Z
2020,3,1,455,503,-8,601,642,-41,F9,101,N308FR,ATL,DEN,163,1199,5,3,2020-03-01T05:00:00Z
2020,3,1,504,507,-3,617,625,-8,AA,797,N701UW,ATL,CLT,41,226,5,7,2020-03-01T05:00:00Z
2020,3,1,542,545,-3,722,727,-5,YV,1867,N87339,ATL,IAD,80,534,5,45,2020-03-01T05:00:00Z
2020,3,1,556,600,-4,741,753,-12,AA,1073,N858NN,ATL,MIA,82,594,6,0,2020-03-01T06:00:00Z
2020,3,1,558,600,-2,745,748,-3,B6,121,N531JL,ATL,FLL,85,581,6,0,2020-03-01T06:00:00Z
2020,3,1,558,600,-2,759,829,-30,F9,574,N201FR,ATL,SLC,216,1590,6,0,2020-03-01T06:00:00Z
2020,3,1,604,607,-3,702,724,-22,AA,1179,N830AW,ATL,ORD,95,606,6,7,2020-03-01T06:00:00Z
2020,3,1,608,600,8,726,726,0,NK,588,N611NK,ATL,TPA,58,406,6,0,2020-03-01T06:00:00Z
2020,3,1,609,610,-1,728,730,-2,DL,567,N359NW,ATL,RDU,59,356,6,10,2020-03-01T06:00:00Z
2020,3,1,610,600,10,743,733,10,AA,1127,N962AN,ATL,DFW,128,731,6,0,2020-03-01T06:00:00Z
2020,3,1,611,613,-2,746,800,-14,AA,1185,N948UW,ATL,DCA,78,547,6,13,2020-03-01T06:00:00Z
2020,3,1,614,615,-1,720,735,-15,WN,1528,N8543Z,ATL,DEN,168,1199,6,15,2020-03-01T06:00:00Z
2020,3,1,616,600,16,851,828,23,B6,323,N705JB,ATL,BOS,132,946,6,0,2020-03-01T06:00:00Z
2020,3,1,619,620,-1,726,735,-9,WN,1458,N733SA,ATL,HOU,110,696,6,20,2020-03-01T06:00:00Z
2020,3,1,625,630,-5,833,838,-5,UA,37,N475UA,ATL,EWR,106,746,6,30,2020-03-01T06:00:00Z
2020,3,1,628,630,-2,748,755,-7,WN,1318,N717SA,ATL,MCO,61,404,6,30,2020-03-01T06:00:00Z
2020,3,1,634,640,-6,748,805,-17,WN,1514,N272WN,ATL,TPA,59,406,6,40,2020-03-01T06:00:00Z
2020,3,1,636,641,-5,819,810,9,OH,1688,N590NN,ATL,CLT,46,226,6,41,2020-03-01T06:00:00Z
2020,3,1,639,640,-1,751,759,-8,NK,77,N664NK,ATL,IAH,107,689,6,40,2020-03-01T06:00:00Z
2020,3,1,642,645,-3,826,840,-14,WN,1587,N7851A,ATL,FLL,88,581,6,45,2020-03-01T06:00:00Z
2020,3,1,643,645,-2,738,740,-2,WN,1518,N217JC,ATL,MDW,89,591,6,45,2020-03-01T06:00:00Z
2020,3,1,644,650,-6,801,805,-4,WN,1479,N7716A,ATL,DAL,115,721,6,50,2020-03-01T06:00:00Z
2020,3,1,656,650,6,834,827,7,NK,716,N613NK,ATL,AUS,129,813,6,50,2020-03-01T06:00:00Z
2020,3,1,657,700,-3,826,836,-10,NK,295,N533NK,ATL,LAS,251,1747,7,0,2020-03-01T07:00:00Z
2020,3,1,659,659,0,823,826,-3,DL,110,N823DX,ATL,MCO,62,404,6,59,2020-03-01T06:00:00Z
2020,3,1,702,705,-3,900,903,-3,NK,236,N921NK,ATL,DTW,90,594,7,5,2020-03-01T07:00:00Z
2020,3,1,704,615,49,850,807,43,NK,39,N680NK,ATL,FLL,83,581,6,15,2020-03-01T06:00:00Z
2020,3,1,712,710,2,855,856,-1,NK,161,N619NK,ATL,BWI,84,577,7,10,2020-03-01T07:00:00Z
2020,3,1,713,719,-6,857,920,-23,AA,952,N90024,ATL,MIA,83,594,7,19,2020-03-01T07:00:00Z
2020,3,1,717,720,-3,855,900,-5,WN,1436,N769SW,ATL,BWI,84,577,7,20,2020-03-01T07:00:00Z
2020,3,1,718,720,-2,935,935,0,AA,945,N991AU,ATL,LAX,269,1947,7,20,2020-03-01T07:00:00Z
2020,3,1,718,720,-2,825,852,-27,YV,1856,N82333,ATL,IAH,110,689,7,20,2020-03-01T07:00:00Z
2020,3,1,719,725,-6,913,930,-17,DL,519,N376DN,ATL,LAX,271,1947,7,25,2020-03-01T07:00:00Z
2020,3,1,723,725,-2,845,849,-4,DL,955,N920DN,ATL,RDU,60,356,7,25,2020-03-01T07:00:00Z
2020,3,1,724,725,-1,909,922,-13,DL,350,N818DA,ATL,DTW,87,594,7,25,2020-03-01T07:00:00Z
2020,3,1,726,725,1,932,935,-3,WN,1257,N8562Z,ATL,LAX,285,1947,7,25,2020-03-01T07:00:00Z
